0.147	3.65312	7.78618	1.76913
0.148	3.69469	7.87467	1.79315
0.149	3.73672	7.96408	1.81776
0.15	3.77923	8.05442	1.84297
0.151	3.82223	8.14568	1.86881
0.152	3.86571	8.23789	1.89528
0.153	3.90967	8.33104	1.9224
0.154	3.95413	8.42514	1.95018
0.155	3.99909	8.5202	1.97863
0.156	4.04456	8.61622	2.00778
0.157	4.09053	8.71322	2.03763
0.158	4.13701	8.8112	2.0682
0.159	4.18401	8.91016	2.0995
0.16	4.23154	9.01012	2.13157
0.161	4.27959	9.11107	2.16439
0.162	4.32817	9.21303	2.19801
0.163	4.37729	9.316	2.23243
0.164	4.42695	9.41998	2.26767
0.165	4.47715	9.52499	2.30374
0.166	4.5279	9.63103	2.34068
0.167	4.57921	9.7381	2.37848
0.168	4.63108	9.84621	2.41718
0.169	4.68352	9.95536	2.4568
0.17	4.73652	10.0656	2.49734
0.171	4.7901	10.1768	2.53883
0.172	4.84426	10.2891	2.5813
0.173	4.899	10.4025	2.62476
0.174	4.95433	10.517	2.66923
0.175	5.01025	10.6325	2.71474
0.176	5.06677	10.7491	2.76131
0.177	5.1239	10.8667	2.80895
0.178	5.18163	10.9855	2.85769
0.179	5.23998	11.1053	2.90756
0.18	5.29894	11.2262	2.95858
0.181	5.35853	11.3483	3.01076
0.182	5.41874	11.4714	3.06415
0.183	5.47958	11.5956	3.11875
0.184	5.54106	11.7208	3.1746
0.185	5.60318	11.8472	3.23172
0.186	5.66594	11.9747	3.29014
0.187	5.72935	12.1033	3.34988
0.188	5.79342	12.233	3.41097
0.189	5.85815	12.3637	3.47344
0.19	5.92353	12.4956	3.53731
0.191	5.98959	12.6286	3.60262
0.192	6.05631	12.7626	3.66938
0.193	6.12372	12.8977	3.73764
0.194	6.1918	13.034	3.80742
0.195	6.26056	13.1713	3.87875
0.196	6.33001	13.3096	3.95167
0.197	6.40015	13.4491	4.02619
0.198	6.47099	13.5896	4.10236
0.199	6.54253	13.7312	4.1802
0.2	6.61477	13.8738	4.25975
0.201	6.68771	14.0175	4.34103
0.202	6.76136	14.1622	4.42409
0.203	6.83573	14.308	4.50896
0.204	6.91081	14.4548	4.59567
